video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
_vn38bkAttU,Samsung,It's time | Galaxy Watch8 | Samsung,"It’s time to jump into the holiday season with #GalaxyWatch8. Watch KPop Demon Hunters, only on Netflix. Learn more: samsung.com #GalaxyAI #Samsung","['festive season', 'galaxy ai', 'galaxy watch 8 classic', 'galaxy watch 8 health features', 'galaxy watch 8 running', 'galaxy watch8', 'golden', 'holiday season', 'huntr/x', 'huntrix', 'jinu', 'kpop demon hunters', 'netflix', 'new season', 'new year', 'rumi', 'running smartwatch', 'samsung', 'samsung fitness watch', 'samsung galaxy', 'samsung galaxy watch series', 'samsung health compatible watches', 'samsung running watch', 'samsung watch', 'samsung watch 8', 'samsung watch health']",2025-12-17T10:01:04Z,23121,1041,,47,PT17S,hd,false
4R4eHAiTwiU,Samsung,Illuminating Creativity in Miami Beach | Samsung,"A new way to meet artists and art.
Artists share how their work takes on new life through #SamsungArtTV.
Shared globally, inspiration finds its way home.

The shine continues on Samsung Art TV. 🎨✨

#SamsungArtStore #TheFrame #NeoQLED #MicroRGB #QLED","['art basel', 'art gallery', 'art tv', 'best tv', 'new samsung tv', 'samsung', 'samsung smart tv', 'samsung televisions', 'samsung tv', 'samsung tv guide', 'samsung vs hisense', 'samsung vs hisense tv', 'samsung vs lg', 'samsung vs lg tv', 'samsung vs tcl', 'samsung vs tcl tv']",2025-12-16T09:00:26Z,7955,219,,3,PT1M,hd,false
clw2GF1nw54,Samsung,Crafting better ways to life I Bespoke AI Laundry Combo I Samsung,"This video is an interview-style narrative capturing how our Home Appliance engineers practice AI craftsmanship to enable better living in everyday life. Through their voices, this video shares internal stories of challenge and invisible dedication behind the key AI-powered innovations for Bespoke AI Laundry Combo.

Our approach to AI as a form of craftsmanship blends hardware, software, and user insight to create better living solutions. Discover how the team behind core features like All-in-One Combo, AI Wash & Dry, Flex Auto Dispense System, On-device Bixby and AI VRT+ explains how these technologies were designed to be intuitive, reliable, and seamlessly integrated into real homes.

0:00 Intro
0:38 What if all-in-one could still perform as well? (All-in-One Combo)
1:31 What if AI handled the laundry settings? (AI Wash & Dry, Flex Auto Dispense System)
2:20 What if AI Laundry Combo spoke our language? (On-Device Bixby)
3:02 What if a quiet machine gets the job done anytime? (AI VRT+)

Q: What is Bespoke AI Laundry Combo?
A: Bespoke AI Laundry Combo is an all-in-one washer and dryer that lets you wash and dry in one machine without transferring loads. It's a simple ""load once and finish"" solution that saves space and is ideal for anyone who wants easier and seamless laundry.

Q: How does AI Wash & Dry work? 
A: AI Wash & Dry works by using different sensors to intelligently sense the fabric type, load weight, and soil level, then automatically adjusting water, detergent, wash time and drying settings to deliver a thorough wash and dry.

#BespokeAILaundryCombo #AICraftsmanship #BespokeAI #Samsung",,2025-12-16T02:00:20Z,6667,350,,34,PT4M11S,hd,false
OwRng3-Cmks,Samsung,Crafting better ways to life I Bespoke AI Refrigerator I Samsung,"This video is an interview-style narrative capturing how our Home Appliance engineers practice AI craftsmanship to enable better living in everyday life. Through their voices, this video shares internal stories of challenge and invisible dedication behind the key AI-powered innovations for Bespoke AI Refrigerator. Learn More: http://smsng.co/6058CyZGg

Our approach to AI as a form of craftsmanship blends hardware, software, and user insight to create better living solutions. Discover how the team behind core features like AI Vision Inside, Voice ID, AI Hybrid Cooling, and zero clearance fit explains how these technologies were designed to be intuitive, reliable, and seamlessly integrated into real homes.

0:00 Intro
0:26 What if your fridge could keep data? (AI Vision Inside)
1:16 What if your fridge knows your voice? (Bixby Voice Control & Voice ID)
1:52 What if your fridge helps reduce energy use? (AI Hybrid Cooling)
2:45 What if your fridge fit just right? (zero clearance fit)

Q: How does AI Vision Inside enhance food management?
A: AI Vision Inside utilizes a built-in camera to help you stay organized by automatically tracking food items entering and exiting the fridge space. It also labels certain fresh foods, allowing you to monitor your groceries anytime from the Family Hub screen or your smartphone without opening the fridge door. You can also get recipe recommendations based on the ingredients you've selected from what's in your fridge.

Q. What is AI Hybrid Cooling?
A. It uses machine learning to predict the internal temperature 5 minutes after the fridge door is opened or closed. If additional cooling is needed, the Peltier system activates to keep the temperature stable.

#BespokeAIRefrigerator #AICraftsmanship #BespokeAI #Samsung",,2025-12-16T01:00:36Z,4294,242,,18,PT4M1S,hd,false
1n7IgawZ4zg,Samsung,Elevate Every Frame of Fallout Season Two | Samsung,"Your journey through the Wasteland deserves the best view.

Samsung OLED partners with Prime Video’s Fallout to bring you '4K AI Upscaling' and 'Glare Free' technology. Witness every detail, defy every glare, and elevate every frame.

Fallout Season Two drops December 17.
Upgrade your view with Samsung OLED.

#SamsungTVPlus #falloutonprime #OLED","['4k tv', '8k tv', 'AI TV', 'AI Technology', 'AI feature', 'Amazon prime', 'Samsung', 'Samsung AI tv', 'Samsung tv plus', 'Vision AI', 'Vision AI Companion', 'bethesda', 'fallout', 'fallout 4', 'fallout 76', 'game monitor', 'game tv', 'gaming monitor', 'gaming tv', 'hisense', 'hisense oled', 'hisense tv', 'hisense vs samsung', 'lg', 'lg monitor', 'lg oled', 'lg vs samsung', 'odyssey', 'oled', 'premium tv', 'samsung monitor', 'samsung odyssey', 'samsung oled', 'smart monitor', 'smart tv', 'tcl', 'tcl monitor', 'tcl oled', 'tcl vs samsung']",2025-12-10T13:01:32Z,15686,592,,56,PT1M29S,hd,false
9Zr34UrEnjE,Samsung,Kick off the festive season | Galaxy Z Flip7 | Samsung,"Kick off the holidays in style with #GalaxyZFlip7. Watch KPop Demon Hunters, only on Netflix. Learn more: samsung.com #GalaxyAI #Samsung","['ai camera mobile', 'ai phone', 'ai smartphone', 'android samsung flip phone', 'best smartphone ai', 'festive season', 'flip phone 2025', 'galaxy ai', 'galaxy z flip7', 'golden', 'holiday season', 'huntr/x', 'huntrix', 'kpop demon hunters', 'mira', 'netflix', 'new season', 'new year', 'phones with ai', 'rumi', 'samsung', 'samsung galaxy', 'samsung galaxy phones', 'samsung galaxy z flip7', 'samsung latest mobile', 'samsung mobile', 'samsung z flip ai', 'samsung z flip7', 'z flip7', 'z flip7 ai', 'z flip7 features', 'zoey']",2025-12-10T10:00:29Z,36490,1118,,61,PT15S,hd,false
_RBjbXfcsfg,Samsung,Unfold the joy | Galaxy Z Fold7 | Samsung,"Slice into the festive season and unfold the holidays with #GalaxyZFold7. Watch KPop Demon Hunters, only on Netflix. Learn more: samsung.com #GalaxyAI #Samsung","['ai phone', 'festive season', 'fold camera phone', 'fold7', 'galaxy ai', 'galaxy z fold7', 'golden', 'holiday season', 'huntr/x', 'huntrix', 'jinu', 'kpop demon hunters', 'netflix', 'new season', 'new year', 'rumi', 'samsung', 'samsung ai camera phone', 'samsung fold7', 'samsung foldable', 'samsung galaxy', 'samsung galaxy phones', 'samsung latest mobile', 'samsung mobile', 'samsung z fold', 'samsung z fold7', 'z fold 7 features', 'z fold camera', 'z fold7', 'z fold7 ai', 'z fold7 design']",2025-12-09T10:01:05Z,76307,2123,,83,PT19S,hd,false
M5Dm4SEZDAA,Samsung,Fuel the Creative Vibe in Miami Beach | Samsung,"Brunch with creators in the city of sunshine☀️—Catch the vibe and fuel your creativity with #SamsungArtTV 💚✨

#SamsungArtStore #ArtBasel #TheFrame #FrameTV #NeoQLED #MicroRGB #QLED","['art basel', 'art gallery', 'art tv', 'best tv', 'new samsung tv', 'samsung', 'samsung televisions', 'samsung tv', 'samsung tv guide', 'samsung vs hisense', 'samsung vs hisense tv', 'samsung vs lg', 'samsung vs lg tv', 'samsung vs tcl', 'samsung vs tcl tv']",2025-12-07T14:04:29Z,19098,535,,19,PT37S,hd,false
J02zGBClGSI,Samsung,One Samsung in Action | AI Residence,"How is technology transforming the way we live today? Smart living starts with Samsung B2B Integrated Offering. Creating energy-efficient, people-centered environments. See it in action with Samsung.

#Samsung",,2025-12-07T02:02:52Z,6950,251,,35,PT5M34S,hd,false
oRrqAh-oUkw,Samsung,Explore Art in a New Way at Art Basel Miami Beach | Samsung,"Step into the moments when #SamsungArtTV lit up #ArtBaselMiamiBeach. In Miami’s energy and the crowd’s buzz, we brought a new way to explore art. 🤸

#SamsungArtStore #TheFrame #FrameTV #NeoQLED #MicroRGB #QLED","['art basel', 'art gallery', 'art tv', 'best tv', 'new samsung tv', 'samsung', 'samsung smart tv', 'samsung televisions', 'samsung tv', 'samsung tv guide', 'samsung vs hisense', 'samsung vs hisense tv', 'samsung vs lg', 'samsung vs lg tv', 'samsung vs tcl', 'samsung vs tcl tv']",2025-12-05T14:00:37Z,20631,1057,,26,PT38S,hd,false
